Ablation,N_features,AUROC,AUPRC,MCC
Best Single (ESM1b-MLM),1,0.8770938952369048,0.891626696283882,0.6040820357426486
Protein MLM Only,5,0.9027076703170619,0.9158004117077047,0.654094932765698
Nucleotide MLM Only,4,0.6383553854204869,0.6786251420154762,0.16616576757696871
Protein Cosine Only,6,0.8650215621933872,0.8788281968189806,0.5707383521831507
Nucleotide Cosine Only,5,0.6211428878184482,0.6522936748877908,0.16480861903617927
All Protein (MLM+Cos),11,0.9224715644139336,0.9314669105555876,0.7010101437116183
All Nucleotide (MLM+Cos),9,0.6928852545181253,0.7291375990863833,0.2671533328147257
Protein + Nucleotide MLM,9,0.9047389552992541,0.9161391204658682,0.6611784379317475
All Foundation Models,20,0.9266037267638121,0.9343820323914076,0.7061531921160809
Foundation + Physicochemical,29,0.9370089330067986,0.9440034507962112,0.7366552316286643
Foundation + AlphaMissense,11,0.9695426864583749,0.9718930371478265,0.8312837044553011
Foundation + REVEL,10,0.9617894308395909,0.9651136427720528,0.8069878017304118
Full Ensemble (All),31,0.9747571935405447,0.9770579586869681,0.8550387909492546
