,ESM1b,ESM2,ESM3,ESM-1v,ProtBERT,ProtT5,Ankh,NT-v2,DNABERT-2,GenaLM,HyenaDNA
ESM1b,0.9999998211860657,0.5976155996322632,0.45917484164237976,0.7722904682159424,0.6376544237136841,0.2954917550086975,0.406997412443161,0.10073772817850113,0.01472076028585434,0.025476954877376556,0.01228812150657177
ESM2,0.5976155996322632,0.9999998211860657,0.410432368516922,0.5476182699203491,0.49815815687179565,0.2172691822052002,0.34542903304100037,0.052357662469148636,0.009408102370798588,0.0157974474132061,0.008443937636911869
ESM3,0.45917484164237976,0.410432368516922,0.9999998807907104,0.44666600227355957,0.4631810188293457,0.19937892258167267,0.2787279188632965,0.06499367952346802,0.0068596829660236835,0.013073769398033619,0.005200303625315428
ESM-1v,0.7722904682159424,0.5476182699203491,0.44666600227355957,0.999997079372406,0.6169471144676208,0.3115280270576477,0.4000057876110077,0.10399876534938812,0.01883671246469021,0.030040815472602844,0.015856118872761726
ProtBERT,0.6376544237136841,0.49815815687179565,0.4631810188293457,0.6169471144676208,0.9999940991401672,0.22900262475013733,0.31213876605033875,0.08294901996850967,0.01383116003125906,0.022220302373170853,0.013183074072003365
ProtT5,0.2954917550086975,0.2172691822052002,0.19937892258167267,0.3115280270576477,0.22900262475013733,0.9999980926513672,0.6705541014671326,0.05945863202214241,0.01762392185628414,0.02564311772584915,0.016303375363349915
Ankh,0.406997412443161,0.34542903304100037,0.2787279188632965,0.4000057876110077,0.31213876605033875,0.6705541014671326,0.9999999403953552,0.06328000873327255,0.017269151285290718,0.024743346497416496,0.017195019870996475
NT-v2,0.10073772817850113,0.052357662469148636,0.06499367952346802,0.10399876534938812,0.08294901996850967,0.05945863202214241,0.06328000873327255,1.0,0.037689294666051865,0.07654925435781479,0.07293962687253952
DNABERT-2,0.01472076028585434,0.009408102370798588,0.0068596829660236835,0.01883671246469021,0.01383116003125906,0.01762392185628414,0.017269151285290718,0.037689294666051865,0.9999998211860657,0.05096784234046936,0.03349648043513298
GenaLM,0.025476954877376556,0.0157974474132061,0.013073769398033619,0.030040815472602844,0.022220302373170853,0.02564311772584915,0.024743346497416496,0.07654925435781479,0.05096784234046936,0.9999980330467224,0.06997604668140411
HyenaDNA,0.01228812150657177,0.008443937636911869,0.005200303625315428,0.015856118872761726,0.013183074072003365,0.016303375363349915,0.017195019870996475,0.07293962687253952,0.03349648043513298,0.06997604668140411,0.9999985098838806
