feature,importance
REVEL,0.40955734
AlphaMissense,0.12079307
esm1b_mlm,0.06561299
normalized_position,0.027219376
esm1v_mlm,0.02380117
protbert_mlm,0.021583103
esm3_mlm,0.020372493
blosum62,0.019115143
esm2_mlm,0.019088136
log_position,0.016333535
ntv2_cos,0.015198362
hydrophobicity_change,0.014227689
prott5_cos,0.013497704
log_protein_length,0.013250463
esm2_cos,0.01304837
ankh_cos,0.012343942
protbert_cos,0.01219793
is_proline_change,0.011779429
grantham,0.011585526
ntv2_mlm,0.011406077
esm1v_cos,0.011085556
charge_change,0.010827392
esm1b_cos,0.010676988
ankh_mlm,0.010429016
hyenadna_cos,0.010157733
genalm_cos,0.00994477
prott5_mlm,0.0095925005
genalm_mlm,0.009568146
dnabert1_mlm,0.009390425
dnabert2_mlm,0.00923289
dnabert2_cos,0.0090982
dnabert1_cos,0.00908896
is_cysteine_change,0.008895594
