model,task,mean,std
ESM1b,Pathogenicity,0.8098665475845337,0.0031599959972123423
ESM2,Pathogenicity,0.8150363326072693,0.0036398565503143426
ESM3,Pathogenicity,0.8019260168075562,0.0018152157346185062
ESM-1v,Pathogenicity,0.8083798050880432,0.005399359414490777
ProtBERT,Pathogenicity,0.7961817979812622,0.00501817927479147
ProtT5,Pathogenicity,0.809934115409851,0.002013247038871731
Ankh,Pathogenicity,0.8184828519821167,0.004561725258024062
NT-v2,Pathogenicity,0.697989535331726,0.0064196396358308745
DNABERT-2,Pathogenicity,0.5914850473403931,0.007268284857450968
GenaLM,Pathogenicity,0.6035141110420227,0.006663802097499951
HyenaDNA,Pathogenicity,0.5219462752342224,0.016483103433112774
ESM1b,AA Type (WT),0.7877344250679016,0.002484384112145772
ESM2,AA Type (WT),0.908667016029358,0.00336473151889667
ESM3,AA Type (WT),0.8503125667572021,0.005049247209506982
ESM-1v,AA Type (WT),0.843656039237976,0.003790754018033485
ProtBERT,AA Type (WT),0.7886805415153504,0.004616200234326048
ProtT5,AA Type (WT),0.8318972945213318,0.004061776580559765
Ankh,AA Type (WT),0.9688123226165771,0.0024889688009015697
NT-v2,AA Type (WT),0.48048657178878784,0.006623947463200183
DNABERT-2,AA Type (WT),0.2655853986740112,0.0028750848042898474
GenaLM,AA Type (WT),0.2772765696048737,0.005553628691922312
HyenaDNA,AA Type (WT),0.30065889954566954,0.004798349021172791
ESM1b,BLOSUM62,-0.018105695252650468,0.014653800466057501
ESM2,BLOSUM62,0.016095438327886246,0.010529780380673561
ESM3,BLOSUM62,-0.005190686992685589,0.014613144325498286
ESM-1v,BLOSUM62,-0.006345759243326721,0.01348186157302368
ProtBERT,BLOSUM62,0.004601391412385314,0.017539420209225335
ProtT5,BLOSUM62,0.01620401357328005,0.014291168902826107
Ankh,BLOSUM62,0.03708057657578414,0.010202690170401972
NT-v2,BLOSUM62,0.14636205927383777,0.014218489329280791
DNABERT-2,BLOSUM62,-0.11130338741021925,0.017180152896953144
GenaLM,BLOSUM62,-0.10283005156636968,0.010051792917552491
HyenaDNA,BLOSUM62,-0.049610778360816135,0.012062610110910003
